Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Allergen information (product.metafields.shopify.allergen-information),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cooking method (product.metafields.shopify.cooking-method),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Dry bean variety (product.metafields.shopify.dry-bean-variety),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Nut/Seed type (product.metafields.shopify.nut-seed-type),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
ratnagiri-mango,Ratnagiri Kesar Mango,"<p class=""MsoNormal""><span style=""mso-bidi-font-family: Calibri; mso-bidi-theme-font: minor-latin;"">The reason that Alphonso Mango has been the King of Mangoes for decades is obvious, but there is another reason behind the popularity of the Alphonso that grows in Ratnagiri, situated on the western coast of Maharashtra, which is considered to be the best Alphonso produced in the entire world. A unique combination of laterite soil of the place, its proximity to the sea, climate, and expertise of farmers results in a mango that can neither be replicated in any other part of India nor any other part of the world.</span></p>
<p class=""MsoNormal""><span style=""mso-bidi-font-family: Calibri; mso-bidi-theme-font: minor-latin;"">Ratnagiri Alphonso is a small to medium-sized mango having a smooth and thin skin, which changes color from green to saffron yellow during ripening. Its flesh is of bright golden orange and juicy to the core without any fiber in it. The aroma of the Ratnagiri Alphonso is amazing, and one of these ripened fruits releases such a strong scent that the aroma makes everyone know about the presence of this particular variety of mango in the nearby area.</span></p>
<h4 class=""MsoNormal""><b>Nutritional Value (Per 100 g)</b></h4>
<table class=""MsoNormalTable"" border=""0"" cellspacing=""0"" cellpadding=""0"" width=""311"" style=""width: 233.0pt; border-collapse: collapse; mso-yfti-tbllook: 1184; mso-padding-alt: 0in 5.4pt 0in 5.4pt;"">
<tbody>
<tr style=""mso-yfti-irow: 0; mso-yfti-firstrow: yes; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; mso-border-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" align=""center"" style=""margin-bottom: 0in; text-align: center; line-height: normal;""><b><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Nutrient</span></b></p>
</td>
<td width=""148"" style=""width: 111.0pt; border: solid windowtext 1.0pt; border-left: none; mso-border-top-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" align=""center"" style=""margin-bottom: 0in; text-align: center; line-height: normal;""><b><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Value</span></b></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 1; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Energy</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">60 kcal</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 2; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Carbohydrates</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">14.98 g</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 3; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Protein</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">0.82 g</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 4; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Total Fat</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">0.38 g</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 5; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Dietary Fibre</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">1.60 g</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 6; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Calcium</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">11.00 mg</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 7; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Iron</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">0.16 mg</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 8; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Vitamin C</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">36.40 mg</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 9; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Vitamin A</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">54.00 µg</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 10; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Vitamin K</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">4.20 µg</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 11; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Vitamin B6</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">0.12 mg</span></p>
</td>
</tr>
<tr style=""mso-yfti-irow: 12; mso-yfti-lastrow: yes; height: 15.0pt;"">
<td width=""163"" style=""width: 122.0pt; border: solid windowtext 1.0pt; border-top: none; mso-border-left-alt: solid windowtext .5pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">Beta-Carotene</span></p>
</td>
<td width=""148"" style=""width: 111.0pt; border-top: none; border-left: none; border-bottom: solid windowtext 1.0pt; border-right: solid windowtext 1.0pt; mso-border-bottom-alt: solid windowtext .5pt; mso-border-right-alt: solid windowtext .5pt; padding: 0in 5.4pt 0in 5.4pt; height: 15.0pt;"">
<p class=""MsoNormal"" style=""margin-bottom: 0in; line-height: normal;""><span style=""mso-ascii-font-family: Calibri; mso-fareast-font-family: 'Times New Roman'; mso-hansi-font-family: Calibri; mso-bidi-font-family: Calibri; color: black;"">640.00 µg</span></p>
</td>
</tr>
</tbody>
</table>",Nuva Nutrition,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Fresh & Frozen Fruits > Stone Fruits > Mangoes",,,TRUE,Measure Unit,1 KG,,,,,,,,,0,shopify,deny,manual,399,469,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0654/0184/7898/files/Ratnagiri-Kesar-Mango.png?v=1777970529,1,,FALSE,Buy Ratnagiri Kesar Mangoes Online | Premium Quality Mangoes – The Nuva,"Buy premium Ratnagiri Kesar Mangoes online from The Nuva. Naturally sweet, juicy, fresh, and full of authentic mango flavor.",6646,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
kesar-mango,Kesar Mango,"<p>There is nothing quite like enjoying a succulent Kesar mango, whose sweet aroma, brilliant color, and natural sweetness are all reminiscent of a warm sunny day.</p>
<p>At The Nuva, our selection of Kesar mangoes is chosen to ensure only the finest quality fruit arrives at your doorstep, offering you the same level of care as what one may expect at home, where each piece of produce is picked with meticulous attention to ripeness and flavor.</p>
<p>What sets our Kesar mangoes apart is the meticulous care that goes into ensuring they are perfect when delivered to you. Each Kesar mango fruit is thoroughly washed with our ozone washing system, ensuring that it is pristine yet retains its natural freshness.</p>
<p>Kesar mangoes are known for their delicious flesh, lack of fiber, and just the right amount of sweetness, making them perfect to eat fresh, in amarths, as smoothies, or even in desserts and beverages.</p>
<p>Whether it is to indulge in a family dessert or a quick snack in the middle of the day, there is no better way to satisfy your craving for mangoes than by choosing Kesar mangoes.</p>",Nuva Nutrition,"Food, Beverages & Tobacco > Food Items > Fruits & Vegetables > Fresh & Frozen Fruits > Stone Fruits > Mangoes",,,TRUE,Measure Unit,1 KG,,,,,,,,,0,shopify,deny,manual,300,369,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0654/0184/7898/files/Kesar-Mango.jpg?v=1777531496,1,,FALSE,Buy Premium Kesar Mango Online | Fresh & Naturally Sweet Mangoes – The Nuva,"Enjoy the rich taste of premium Kesar Mangoes from the Nuva. Naturally sweet, juicy, and full of flavor, perfect for smoothies, desserts, and healthy snacking.",6646,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,TRUE,,,active
